Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Engineering,18/FA,9/4/2018,2018,ENGR-101-A,ENGR,101,A,100,3.00,3.00,19,19,7,28,28,SB 102,MWF,8:00AM - 8:50AM,9/4/2018,12/18/2018,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Julie Wildschut,Active,LEC
Engineering,16/FA,9/6/2016,2016,ENGR-101-A,ENGR,101,A,100,2.00,2.50,27,27,26,28,28,SB 102,MWF,8:00AM - 8:50AM,9/6/2016,12/20/2016,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Frederick Haan,Active,LEC
Engineering,14/FA,9/2/2014,2014,ENGR-101-A,ENGR,101,A,100,2.00,2.50,27,27,16,28,28,SB 102,MWF,8:00AM - 8:50AM,9/2/2014,12/16/2014,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Jennifer Jewett VanAntwerp,Active,LEC
Engineering,19/FA,9/3/2019,2019,ENGR-101-A,ENGR,101,A,100,3.00,3.00,20,20,24,28,28,SB 102,MWF,8:00AM - 8:50AM,9/3/2019,12/17/2019,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Julie Wildschut,Active,LEC
Engineering,15/FA,9/8/2015,2015,ENGR-101-A,ENGR,101,A,100,2.00,2.50,24,25,28,28,28,SB 102,MWF,8:00AM - 8:50AM,9/8/2015,12/18/2015,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Thomas Van Wyk,Active,LEC
Engineering,17/FA,9/5/2017,2017,ENGR-101-A,ENGR,101,A,100,2.00,2.50,29,29,20,28,28,SB 102,MWF,8:00AM - 8:50AM,9/5/2017,12/19/2017,SB,102,8:00AM,08:00:00,8:50AM,08:50:00,M,,W,,F,Intro to Engineering Design,Monica Groenenboom,Active,LEC
Engineering,18/FA,9/4/2018,2018,ENGR-101-B,ENGR,101,B,100,3.00,3.00,27,27,7,28,28,SB 102,MWF,9:00AM - 9:50AM,9/4/2018,12/18/2018,SB,102,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,,F,Intro to Engineering Design,Christine Barman,Active,LEC
Engineering,14/FA,9/2/2014,2014,ENGR-101-B,ENGR,101,B,100,2.00,2.50,17,19,16,28,28,SB 102,MWF,2:30PM - 3:20PM,9/2/2014,12/16/2014,SB,102,2:30PM,14:30:00,3:20PM,15:20:00,M,,W,,F,Intro to Engineering Design,Aubrey Sykes,Active,LEC
Engineering,16/FA,9/6/2016,2016,ENGR-101-B,ENGR,101,B,100,2.00,2.50,27,27,26,28,28,SC 220,MWF,9:00AM - 9:50AM,9/6/2016,12/20/2016,SC,220,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,,F,Intro to Engineering Design,Monica Groenenboom,Active,LEC
Engineering,19/FA,9/3/2019,2019,ENGR-101-B,ENGR,101,B,100,3.00,3.00,24,24,24,28,28,SB 102,MWF,9:00AM - 9:50AM,9/3/2019,12/17/2019,SB,102,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,,F,Intro to Engineering Design,Julie Wildschut,Active,LEC
Engineering,15/FA,9/8/2015,2015,ENGR-101-B,ENGR,101,B,100,2.00,2.50,27,28,28,28,28,SB 102,MWF,10:30AM - 11:20AM,9/8/2015,12/18/2015,SB,102,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Intro to Engineering Design,Monica Groenenboom,Active,LEC
