Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Computer Science,21/FA,8/30/2021,2021,CS-100-A,CS,100,A,100,3.00,3.00,15,,28,30,33,SB 372,TTH,12:00PM - 1:15PM,8/30/2021,12/15/2021,SB,372,12:00PM,12:00:00,1:15PM,13:15:00,,T,,TH,,Creating Interactive Web Media,David Meyer,Active,LEC
Computer Science,21/FA,8/30/2021,2021,CS-104-A,CS,104,A,100,2.00,1.00,3,,25,30,35,NH 253,T,9:00AM - 9:50AM,8/30/2021,12/15/2021,NH,253,9:00AM,09:00:00,9:50AM,09:50:00,,T,,,,Applied Computing,Derek C Schuurman,Active,LEC
Computer Science,21/FA,8/30/2021,2021,CS-104-B,CS,104,B,100,2.00,1.00,2,,25,30,35,NH 253,T,10:30AM - 11:20AM,8/30/2021,12/15/2021,NH,253,10:30AM,10:30:00,11:20AM,11:20:00,,T,,,,Applied Computing,Derek C Schuurman,Active,LEC
Computer Science,21/FA,8/30/2021,2021,CS-104-C,CS,104,C,100,2.00,1.00,1,,25,30,35,NH 253,T,11:30AM - 12:20PM,8/30/2021,12/15/2021,NH,253,11:30AM,11:30:00,12:20PM,12:20:00,,T,,,,Applied Computing,Derek C Schuurman,Active,LEC
Computer Science,21/FA,8/30/2021,2021,CS-104L-A,CS,104L,A,100,0.00,1.00,2,,20,24,24,SB 337,TH,8:00AM - 9:50AM,8/30/2021,12/15/2021,SB,337,8:00AM,08:00:00,9:50AM,09:50:00,,,,TH,,Applied Computing Lab,Derek C Schuurman,Active,LAB
Computer Science,21/FA,8/30/2021,2021,CS-104L-B,CS,104L,B,100,0.00,1.00,4,,20,24,24,SB 337,TH,10:30AM - 12:20PM,8/30/2021,12/15/2021,SB,337,10:30AM,10:30:00,12:20PM,12:20:00,,,,TH,,Applied Computing Lab,Derek C Schuurman,Active,LAB
Computer Science,21/FA,8/30/2021,2021,CS-104L-C,CS,104L,C,100,0.00,1.00,0,,20,24,24,SB 337,TH,12:30PM - 2:20PM,8/30/2021,12/15/2021,SB,337,12:30PM,12:30:00,2:20PM,14:20:00,,,,TH,,Applied Computing Lab,Derek C Schuurman,Active,LAB
Computer Science,21/FA,8/30/2021,2021,CS-104L-D,CS,104L,D,100,0.00,1.00,0,,20,24,24,SB 337,TH,2:30PM - 4:20PM,8/30/2021,12/15/2021,SB,337,2:30PM,14:30:00,4:20PM,16:20:00,,,,TH,,Applied Computing Lab,Derek C Schuurman,Active,LAB
Computer Science,21/FA,8/30/2021,2021,CS-106-A,CS,106,A,100,4.00,3.00,8,,30,33,30,SB 382,MWF,9:00AM - 9:50AM,8/30/2021,12/15/2021,SB,382,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,,F,Intro to Sci Comp & Modeling,Kenneth C Arnold,Active,LEC
Computer Science,21/FA,8/30/2021,2021,CS-106L-A,CS,106L,A,100,0.00,1.00,9,,30,33,34,SB 354,TH,8:00AM - 9:50AM,8/30/2021,12/15/2021,SB,354,8:00AM,08:00:00,9:50AM,09:50:00,,,,TH,,Intro to Sci Comp & Model Lab,Kenneth C Arnold,Active,LAB
