Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-071-A,MATH,071,A,000,1.00,1.50,0,,24,24,32,NH 259,TTH,1:00PM - 1:50PM,8/29/2022,12/17/2022,NH,259,1:00PM,13:00:00,1:50PM,13:50:00,,T,,TH,,Calculus I Supplemental Inst,Todd Kapitula,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-072-A,MATH,072,A,000,1.00,1.00,0,,24,24,32,NH 259,TTH,3:00PM - 3:50PM,1/9/2023,4/29/2023,NH,259,3:00PM,15:00:00,3:50PM,15:50:00,,T,,TH,,Calculus I Supplemental Inst,Mathematics Staff ,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-100-A,MATH,100,A,100,3.00,3.00,0,,26,32,32,NH 251,MWF,11:00AM - 11:50AM,8/29/2022,12/17/2022,NH,251,11:00AM,11:00:00,11:50AM,11:50:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-132-A,MATH,132,A,100,4.00,4.00,0,,30,34,32,NH 251,MTWF,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,251,1:00PM,13:00:00,1:50PM,13:50:00,M,T,W,,F,"Calc for Mgt, Life, & Soc Sci",Michael Bolt,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-171-A,MATH,171,A,100,4.00,4.00,0,,30,35,44,NH 276,MTWF,9:30AM - 10:20AM,8/29/2022,12/17/2022,NH,276,9:30AM,09:30:00,10:20AM,10:20:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-171-A,MATH,171,A,100,4.00,4.00,0,,30,35,44,NH 276,MTWF,11:00AM - 11:50AM,1/9/2023,4/29/2023,NH,276,11:00AM,11:00:00,11:50AM,11:50:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-171-B,MATH,171,B,100,4.00,4.00,0,,30,35,44,NH 276,MTWF,11:00AM - 11:50AM,8/29/2022,12/17/2022,NH,276,11:00AM,11:00:00,11:50AM,11:50:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-171-C,MATH,171,C,100,4.00,4.00,0,,30,35,45,NH 295,MTWF,12:00PM - 12:50PM,8/29/2022,12/17/2022,NH,295,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-171-D,MATH,171,D,100,4.00,4.00,0,,30,35,45,NH 295,MTWF,1:00PM - 1:50PM,8/29/2022,12/17/2022,NH,295,1:00PM,13:00:00,1:50PM,13:50:00,M,T,W,,F,Calculus I,Mathematics Staff ,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-171-E,MATH,171,E,100,4.00,4.00,0,,30,35,45,NH 295,MTWF,2:00PM - 2:50PM,8/29/2022,12/17/2022,NH,295,2:00PM,14:00:00,2:50PM,14:50:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-172-B,MATH,172,B,100,4.00,4.00,0,,20,32,44,NH 276,MTWF,3:00PM - 3:50PM,8/29/2022,12/17/2022,NH,276,3:00PM,15:00:00,3:50PM,15:50:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-172-B,MATH,172,B,100,4.00,4.00,0,,20,32,44,NH 276,MTWF,12:00PM - 12:50PM,1/9/2023,4/29/2023,NH,276,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-172-C,MATH,172,C,100,4.00,4.00,0,,20,32,45,NH 295,MTWF,3:00PM - 3:50PM,1/9/2023,4/29/2023,NH,295,3:00PM,15:00:00,3:50PM,15:50:00,M,T,W,,F,Calculus II,James Turner,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-172-D,MATH,172,D,100,4.00,4.00,0,,20,32,45,NH 295,MTWF,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,295,1:00PM,13:00:00,1:50PM,13:50:00,M,T,W,,F,Calculus II,James Turner,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-190-A,MATH,190,A,100,1.00,1.00,0,,30,,44,NH 276,W,4:00PM - 4:50PM,8/29/2022,12/17/2022,NH,276,4:00PM,16:00:00,4:50PM,16:50:00,,,W,,,First-year Seminar in Math,"Todd Kapitula
Thomas L. Scofield",Active,SEM
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-221-A,MATH,221,A,200,4.00,4.00,0,,26,32,32,NH 251,MTWF,12:00PM - 12:50PM,8/29/2022,12/17/2022,NH,251,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Real Nbr Sys/Meth for Elem Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-221-B,MATH,221,B,200,4.00,4.00,0,,26,32,32,NH 251,MTWF,2:00PM - 2:50PM,8/29/2022,12/17/2022,NH,251,2:00PM,14:00:00,2:50PM,14:50:00,M,T,W,,F,Real Nbr Sys/Meth for Elem Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-222-A,MATH,222,A,200,4.00,4.00,0,,26,32,32,NH 251,MTTHF,3:00PM - 3:50PM,8/29/2022,12/17/2022,NH,251,3:00PM,15:00:00,3:50PM,15:50:00,M,T,,TH,F,Geometry/Meth for Elem Sch,Gary Talsma,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-222-A,MATH,222,A,200,4.00,4.00,0,,26,32,32,NH 251,MTTHF,3:00PM - 3:50PM,1/9/2023,4/29/2023,NH,251,3:00PM,15:00:00,3:50PM,15:50:00,M,T,,TH,F,Geometry/Meth for Elem Sch,Gary Talsma,Active,LEC
