Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingDurationMinutes,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod,Comments,LastEditTimestamp
"",FA,,,"--","",,,,0,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Randall Pruim","","Department Chair","","2022-01-06T20:07:43-05:00"
"",FA,,,"--","",,,,0,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Randall Pruim","","Data Science Masters","","2022-01-07T08:59:36-05:00"
"",FA,,,"--","",,,,0,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Randall Pruim","","Faith and Technology","","2022-01-07T09:00:23-05:00"
"",SP,,,"--","",,,,0,12,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Dr. David B. Klanderman","","Sabbatical","","2022-01-06T19:56:26-05:00"
"",SP,,,"--","",,,,0,4,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Stacy De Ruiter","","Funded Research","","2022-01-06T20:02:54-05:00"
"",SP,,,"--","",,,,0,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Randall Pruim","","Department Chair","","2022-01-06T20:08:15-05:00"
"",SP,,,"--","",,,,0,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","James Turner","","CRF","","2022-01-07T08:11:55-05:00"
"BUS",22/SP,,2021,"MGMT-535-A","MGMT",535,A,500,3,3,,,,,"","","","",,,First,"","","","","","","","","","","","","Statistical Analysis","Randall Pruim","Active","LEC","","2022-01-06T20:13:35-05:00"
"Education",22/FA,,2022,"EDUC-346-X","EDUC",346,X,300,12,3,,,,,"","","","",,,Full,"","","","","","","","","","","","","","Dr. David B. Klanderman","Active","LEC","","2022-01-06T19:52:25-05:00"
"Mathematics and Statistics",21/FA,8/30/2021,2021,"CORE-100-X","CORE",100,X,100,3,3,,,30,30,"44","NH 276","MWF","12:00PM - 12:50PM",8/30/2021,12/15/2021,Full,"NH","276","12:00 PM","12:00:00","50","12:50 PM","12:50:00","M","","W","","F","Core 100","Stacy De Ruiter","Active","LEC","NA","2022-01-07T09:21:14-05:00"
"Mathematics and Statistics",21/FA,8/30/2021,2021,"CORE-100-X","CORE",100,X,100,3,3,,,30,30,"44","NH 261","MWF","9:30AM - 10:20AM",8/30/2021,12/15/2021,Full,"NH","261","9:30 AM","9:30:00","50","10:20 AM","10:20:00","M","","W","","F","Core 100","Nathan S Sunukjian","Active","LEC","NA","2022-01-07T09:52:00-05:00"
