Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-071-A,MATH,071,A,000,1.00,1.50,20,24,24,24,32,NH 259,TTH,12:30PM - 1:20PM,8/30/2022,12/15/2022,NH,259,12:30PM,12:30:00,1:20PM,13:20:00,,T,,TH,,Calculus I Supplemental Inst,Thomas Jager,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-072-A,MATH,072,A,000,1.00,1.00,2,,24,24,44,NH 276,TTH,2:30PM - 3:20PM,1/10/2022,4/28/2022,NH,276,2:30PM,14:30:00,3:20PM,15:20:00,,T,,TH,,Calculus I Supplemental Inst,Todd Kapitula,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-100-A,MATH,100,A,100,3.00,3.00,24,25,26,32,32,NH 251,MWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-100-CPI,MATH,100,CPI,100,3.00,3.00,27,,,,100,OFF CAMP,,,1/10/2022,4/30/2022,OFF,CAMP,,,,,,,,,,Math in the Contemporary World,Gerard Venema,Active,CPI
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-132-A,MATH,132,A,100,4.00,4.00,32,,30,34,32,NH 251,MTWF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,T,W,,F,"Calc for Mgt, Life, & Soc Sci",Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-171-A,MATH,171,A,100,4.00,4.00,31,37,44,44,44,NH 276,MTWF,9:00AM - 9:50AM,8/30/2022,12/15/2022,NH,276,9:00AM,09:00:00,9:50AM,09:50:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-171-A,MATH,171,A,100,4.00,4.00,27,,30,35,32,NH 259,MTWF,10:30AM - 11:20AM,1/10/2022,4/28/2022,NH,259,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-171-B,MATH,171,B,100,4.00,4.00,38,37,44,44,44,NH 276,MTWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,276,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-171-C,MATH,171,C,100,4.00,4.00,25,27,44,44,52,SB 301,MTWF,11:30AM - 12:20PM,8/30/2022,12/15/2022,SB,301,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-171-D,MATH,171,D,100,4.00,4.00,32,35,44,44,45,NH 295,MTWF,1:30PM - 2:20PM,8/30/2022,12/15/2022,NH,295,1:30PM,13:30:00,2:20PM,14:20:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-172-A,MATH,172,A,100,4.00,4.00,35,34,32,32,44,NH 276,MTWF,8:00AM - 8:50AM,8/30/2022,12/15/2022,NH,276,8:00AM,08:00:00,8:50AM,08:50:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-172-B,MATH,172,B,100,4.00,4.00,36,,31,32,44,NH 276,MTWF,11:30AM - 12:20PM,1/10/2022,4/28/2022,NH,276,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Calculus II,James Turner,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-172-B,MATH,172,B,100,4.00,4.00,32,32,32,32,32,NH 259,MTWF,2:30PM - 3:20PM,8/30/2022,12/15/2022,NH,259,2:30PM,14:30:00,3:20PM,15:20:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-172-C,MATH,172,C,100,4.00,4.00,33,,31,32,45,NH 295,MTWF,2:30PM - 3:20PM,1/10/2022,4/28/2022,NH,295,2:30PM,14:30:00,3:20PM,15:20:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-172-D,MATH,172,D,100,4.00,4.00,30,,31,32,45,NH 295,MTWF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,295,12:30PM,12:30:00,1:20PM,13:20:00,M,T,W,,F,Calculus II,James Turner,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-190-A,MATH,190,A,100,1.00,0.00,9,10,30,,44,NH 276,W,3:30PM - 4:20PM,8/30/2022,12/15/2022,NH,276,3:30PM,15:30:00,4:20PM,16:20:00,,,W,,,First-year Seminar in Math,"Todd Kapitula
Thomas L. Scofield",Active,SEM
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-221-A,MATH,221,A,200,4.00,4.00,23,,26,32,32,NH 251,MTWTH,1:30PM - 2:20PM,1/10/2022,4/28/2022,NH,251,1:30PM,13:30:00,2:20PM,14:20:00,M,T,W,TH,,Real Nbr Sys/Meth for Elem Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-221-A,MATH,221,A,200,4.00,4.00,30,32,32,32,32,NH 251,MTTHF,12:30PM - 1:20PM,8/30/2022,12/15/2022,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,T,,TH,F,Real Nbr Sys/Meth for Elem Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-222-A,MATH,222,A,200,4.00,4.00,22,,26,32,32,NH 251,MTTHF,2:30PM - 3:20PM,1/10/2022,4/28/2022,NH,251,2:30PM,14:30:00,3:20PM,15:20:00,M,T,,TH,F,Geometry/Meth for Elem Sch,Gary Talsma,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-222-A,MATH,222,A,200,4.00,4.00,24,26,32,32,32,NH 251,TTH,1:30PM - 3:20PM,8/30/2022,12/15/2022,NH,251,1:30PM,13:30:00,3:20PM,15:20:00,,T,,TH,,Geometry/Meth for Elem Sch,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-231-A,MATH,231,A,200,4.00,4.00,16,16,24,32,45,NH 295,MTWF,2:30PM - 3:20PM,8/30/2022,12/15/2022,NH,295,2:30PM,14:30:00,3:20PM,15:20:00,M,T,W,,F,Diff Equ With Linear Algebra,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-231-A,MATH,231,A,200,4.00,4.00,25,,24,32,32,NH 259,MWTHF,9:00AM - 9:50AM,1/10/2022,4/28/2022,NH,259,9:00AM,09:00:00,9:50AM,09:50:00,M,,W,TH,F,Diff Equ With Linear Algebra,Thomas L. Scofield,Active,LEC
