Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,17/SP,1/30/2017,2016,MATH-100-A,MATH,100,A,100,3.00,3.00,29,31,30,32,44,NH 276,MWF,1:30PM - 2:20PM,1/30/2017,5/18/2017,NH,276,1:30PM,13:30:00,2:20PM,14:20:00,M,,W,,F,Math in the Contemporary World,John Ferdinands,Active,LEC
Mathematics and Statistics,21/SP,2/1/2021,2020,MATH-100-A,MATH,100,A,100,3.00,3.00,0,,26,32,32,NH 259,MWF,1:30PM - 2:20PM,2/1/2021,5/20/2021,NH,259,1:30PM,13:30:00,2:20PM,14:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,20/FA,9/1/2020,2020,MATH-100-A,MATH,100,A,100,3.00,3.00,0,,26,32,32,NH 251,MWF,10:30AM - 11:20AM,9/1/2020,12/17/2020,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Math in the Contemporary World,Nathan Sunukjian,Active,LEC
Mathematics and Statistics,16/IN,1/6/2016,2015,MATH-100-A,MATH,100,A,100,3.00,3.00,27,,24,24,44,NH 276,MTWTHF,8:30AM - 12:00PM,1/6/2016,1/26/2016,NH,276,8:30AM,08:30:00,12:00PM,12:00:00,M,T,W,TH,F,Math in the Contemporary World,John Ferdinands,Active,LEC
Mathematics and Statistics,20/SP,2/3/2020,2019,MATH-100-A,MATH,100,A,100,3.00,3.00,32,32,32,32,32,NH 251,MWF,12:30PM - 1:20PM,2/3/2020,5/21/2020,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,16/SP,2/1/2016,2015,MATH-100-A,MATH,100,A,100,3.00,3.00,29,32,32,32,32,NH 259,MWF,1:30PM - 2:20PM,2/1/2016,5/19/2016,NH,259,1:30PM,13:30:00,2:20PM,14:20:00,M,,W,,F,Math in the Contemporary World,Gary Talsma,Active,LEC
Mathematics and Statistics,16/FA,9/6/2016,2016,MATH-100-A,MATH,100,A,100,3.00,3.00,26,31,26,32,32,NH 251,TTH,8:35AM - 9:50AM,9/6/2016,12/20/2016,NH,251,8:35AM,08:35:00,9:50AM,09:50:00,,T,,TH,,Math in the Contemporary World,Janice Koop,Active,LEC
Mathematics and Statistics,19/SP,1/28/2019,2018,MATH-100-A,MATH,100,A,100,3.00,3.00,29,31,32,32,32,NH 259,MWF,2:30PM - 3:20PM,1/28/2019,5/16/2019,NH,259,2:30PM,14:30:00,3:20PM,15:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,15/FA,9/8/2015,2015,MATH-100-A,MATH,100,A,100,3.00,3.00,32,32,28,32,32,NH 251,MWF,10:30AM - 11:20AM,9/8/2015,12/18/2015,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Math in the Contemporary World,Benjamin Dekker,Active,LEC
Mathematics and Statistics,18/FA,9/4/2018,2018,MATH-100-A,MATH,100,A,100,3.00,3.00,31,31,30,32,32,NH 251,MWF,12:30PM - 1:20PM,9/4/2018,12/18/2018,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,17/FA,9/5/2017,2017,MATH-100-A,MATH,100,A,100,3.00,3.00,32,32,25,32,32,NH 251,MWF,10:30AM - 11:20AM,9/5/2017,12/19/2017,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Math in the Contemporary World,Nathan Sunukjian,Active,LEC
Mathematics and Statistics,18/SP,1/29/2018,2017,MATH-100-A,MATH,100,A,100,3.00,3.00,30,32,26,32,32,NH 259,MWF,1:30PM - 2:20PM,1/29/2018,5/17/2018,NH,259,1:30PM,13:30:00,2:20PM,14:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,17/IN,1/4/2017,2016,MATH-100-A,MATH,100,A,100,3.00,3.00,30,,26,32,46,NH 064,MTWTHF,8:30AM - 12:00PM,1/4/2017,1/24/2017,NH,064,8:30AM,08:30:00,12:00PM,12:00:00,M,T,W,TH,F,Math in the Contemporary World,Benjamin Dekker,Active,LEC
Mathematics and Statistics,19/FA,9/3/2019,2019,MATH-100-CPI,MATH,100,CPI,100,3.00,3.00,37,38,,32,100,OFF CAMP,,,9/3/2019,12/17/2019,OFF,CAMP,,,,,,,,,,Math in the Contemporary World,Thomas Jager,Active,CPI
Mathematics and Statistics,21/SP,2/1/2021,2020,MATH-132-A,MATH,132,A,100,4.00,4.00,0,,30,35,32,NH 251,MTWF,12:30PM - 1:20PM,2/1/2021,5/20/2021,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,T,W,,F,"Calc for Mgt, Life, & Soc Sci",Michael Bolt,Active,LEC
Mathematics and Statistics,17/SP,1/30/2017,2016,MATH-132-A,MATH,132,A,100,4.00,4.00,32,32,30,32,32,NH 251,MTWF,10:30AM - 11:20AM,1/30/2017,5/18/2017,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,"Calc for Mgt, Life, & Soc Sci",John Ferdinands,Active,LEC
Mathematics and Statistics,20/SP,2/3/2020,2019,MATH-132-A,MATH,132,A,100,4.00,4.00,32,32,32,35,32,NH 259,MWTHF,1:30PM - 2:20PM,2/3/2020,5/21/2020,NH,259,1:30PM,13:30:00,2:20PM,14:20:00,M,,W,TH,F,"Calc for Mgt, Life, & Soc Sci",Michael Bolt,Active,LEC
