Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingDurationMinutes,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod,Comments,LastEditTimestamp
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-100-A","MATH",100,A,100,3,3,26,27,30,30,"0","NH 251","MWF","10:30AM - 11:20AM",9/1/21,12/16/21,Full,"NH","251","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","","W","","F","Math in the Contemporary World","James Turner","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-132-A","MATH",132,A,100,4,4,25,0,30,35,"0","NH 251","MTWF","12:30PM - 1:20PM",2/2/22,5/13/22,Full,"NH","251","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","T","W","","F","Calc for Mgt, Life, & Soc Sci","Michael Bolt","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-171-A","MATH",171,A,100,4,4,27,29,30,35,"300","NH 276","MTWF","9:00AM - 9:50AM",9/1/21,12/16/21,Full,"NH","276","9:00 AM","9:00:00","50","9:50 AM","9:50:00","M","T","W","","F","Calculus I","Michael Bolt","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-171-A","MATH",171,A,100,4,4,20,0,30,35,"44","NH 259","MTWF","10:30AM - 11:20AM",2/2/22,5/13/22,Full,"NH","259","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","T","W","","F","Calculus I","Christopher Moseley","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-171-D","MATH",171,D,100,4,4,28,28,30,35,"0","NH 295","MTWF","1:30PM - 2:20PM",9/1/21,12/16/21,Full,"NH","295","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","T","W","","F","Calculus I","Christopher Moseley","Active","LEC","3/2: room change
",""
"Mathematics and Statistics",21/FA,,2021,"MATH-171-B","MATH",171,B,100,4,4,19,20,0,20,"0","NH 276","MTWF","10:30AM - 11:20AM",,,A,"NH","276","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","T","W","","F","Calculus I","Michael Bolt","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-171-C","MATH",171,C,100,4,4,30,32,30,35,"300","TBD","MTWF","11:30AM - 12:20PM",9/1/21,12/16/21,Full,"TBD","","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","T","W","","F","Calculus I","Christopher Moseley","Active","LEC","3/2: Ferd -> Moseley
3/8: need a room (wasn't likely to fit in 261 anyway, and we need that room for 331 if we move it to 11:30)
",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-172-A","MATH",172,A,100,4,4,18,0,30,32,"30","NH 295","MTWF","12:30PM - 1:20PM",2/2/22,5/13/22,Full,"NH","295","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","T","W","","F","Calculus II","James Turner","Active","ONLN","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-172-B","MATH",172,B,100,4,4,28,26,26,32,"0","NH 259","MTWF","2:30PM - 3:20PM",9/1/21,12/16/21,Full,"NH","259","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","W","","F","Calculus II","John Ferdinands","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-172-C","MATH",172,C,100,4,4,25,0,30,32,"0","NH 295","MTWF","2:30PM - 3:20PM",2/2/22,5/13/22,Full,"NH","295","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","W","","F","Calculus II","John Ferdinands","Active","LEC","",""
